,pref,city,town,other,lon_min,lat_min,lon_max,lat_max
0,北海道,札幌市中央区,宮ケ丘（番地）,,141.3038888378988,43.04558543414606,141.31601652474825,43.057407273558724
1,北海道,札幌市中央区,円山,,141.3086447412192,43.0445717141198,141.32044663322938,43.05285064225728
2,北海道,札幌市中央区,円山西町,E1,141.29417070095744,43.025520557309264,141.31189897014286,43.0444909980724
3,北海道,札幌市中央区,円山西町,E2,141.29764119531134,43.04441335489617,141.30289425050125,43.049312351395
4,北海道,札幌市中央区,宮の森,E1,141.2837320693991,43.03521730110491,141.2977868260477,43.058188447824605
5,北海道,札幌市中央区,宮の森,E2,141.30285710239824,43.05078718413323,141.30798504365774,43.0562537508104
6,北海道,札幌市中央区,宮の森,E3,141.29665445268554,43.04441335489617,141.3013615845848,43.04935577429678
7,北海道,札幌市中央区,盤渓,,141.201892380681,42.99764877993358,141.30255405726385,43.04874732954333
8,北海道,札幌市中央区,宮の森一条１丁目,,141.312102542714,43.06365190074263,141.31412657232076,43.065352907515965
9,北海道,札幌市中央区,宮の森一条２丁目,,141.31139154426944,43.06294443497973,141.3127597248112,43.06407636589757
10,北海道,札幌市中央区,宮の森一条３丁目,,141.31058908628296,43.06228637563498,141.31187384726329,43.063482585888
11,北海道,札幌市中央区,宮の森一条４丁目,,141.31011462643505,43.061742438617124,141.31136759795442,43.062704491338145
12,北海道,札幌市中央区,宮の森一条５丁目,,141.30971749555727,43.06129706052667,141.31148445025363,43.062208730479185
13,北海道,札幌市中央区,宮の森一条６丁目,,141.3076195271497,43.05957516212113,141.31158946063766,43.06147491129301
14,北海道,札幌市中央区,宮の森一条７丁目,,141.3081252809603,43.058716142647725,141.31027548616092,43.06024086590728
15,北海道,札幌市中央区,宮の森一条８丁目,,141.3074696227409,43.05819292391855,141.3096736314193,43.059509589153976
16,北海道,札幌市中央区,宮の森一条９丁目,,141.30648364502252,43.057062413081084,141.30924936428175,43.05900288604646
17,北海道,札幌市中央区,宮の森一条１０丁目,,141.3036725851487,43.05583902944292,141.30850869114448,43.05840454814899
18,北海道,札幌市中央区,宮の森一条１１丁目,,141.3027564205951,43.05488453173334,141.30545295138526,43.0570372399109
19,北海道,札幌市中央区,宮の森一条１２丁目,,141.30209204312652,43.05348616663479,141.30420127606115,43.05563536945077
20,北海道,札幌市中央区,宮の森一条１３丁目,,141.30107730831224,43.05137321296409,141.30412556782116,43.05429931361857
21,北海道,札幌市中央区,宮の森一条１４丁目,,141.29870317929112,43.048513415102946,141.30428022376339,43.051602861874755
22,北海道,札幌市中央区,宮の森一条１５丁目,,141.29591306241196,43.04692446949589,141.29956454356835,43.05067569402939
23,北海道,札幌市中央区,宮の森一条１６丁目,,141.29226985170433,43.044098953874744,141.29764119531134,43.0484884371241
24,北海道,札幌市中央区,宮の森一条１７丁目,,141.29203984300304,43.04144214910862,141.29395540418298,43.0453113101644
25,北海道,札幌市中央区,宮の森一条１８丁目,,141.29014230402393,43.038558219349504,141.29557903713658,43.04326700740959
26,北海道,札幌市中央区,宮の森二条１丁目,,141.31023485789908,43.06407636589757,141.31351094634468,43.066403772006126
27,北海道,札幌市中央区,宮の森二条２丁目,,141.3095640775769,43.063482585888,141.312102542714,43.06520339301229
28,北海道,札幌市中央区,宮の森二条３丁目,,141.3085171794456,43.062704491338145,141.31139154426944,43.064733500287986
29,北海道,札幌市中央区,宮の森二条４丁目,,141.30800904646327,43.06219978269083,141.31058908628296,43.063814342129994
30,北海道,札幌市中央区,宮の森二条５丁目,,141.30708349687794,43.06113658381891,141.31028831152886,43.06332306300894
31,北海道,札幌市中央区,宮の森二条６丁目,,141.30605380766565,43.0609188961122,141.309228702488,43.06258113531468
32,北海道,札幌市中央区,宮の森二条７丁目,,141.30518499820505,43.05948960752375,141.30894545573355,43.06172651974673
33,北海道,札幌市中央区,宮の森二条８丁目,,141.30439898116379,43.05851353351548,141.30809863587697,43.06095909346662
34,北海道,札幌市中央区,宮の森二条９丁目,,141.30335250804583,43.057787738286514,141.30682042297033,43.06027287212866
35,北海道,札幌市中央区,宮の森二条１０丁目,,141.30180635377008,43.05694635590659,141.30542206992664,43.05936696325036
36,北海道,札幌市中央区,宮の森二条１１丁目,,141.29988386113786,43.05563536945077,141.30348771533176,43.05880608189022
37,北海道,札幌市中央区,宮の森二条１２丁目,,141.29946542476765,43.0542853990786,141.3027564205951,43.05736120015917
38,北海道,札幌市中央区,宮の森二条１３丁目,,141.29852207644694,43.05219559163158,141.3020848736522,43.055156357356836
39,北海道,札幌市中央区,宮の森二条１４丁目,,141.29848060580505,43.05067569402939,141.30208695021162,43.052641447928586
40,北海道,札幌市中央区,宮の森二条１５丁目,,141.2936867045439,43.047734946591966,141.29799964311195,43.050528482842395
41,北海道,札幌市中央区,宮の森二条１６丁目,,141.28703422777997,43.04551002536055,141.29510436303255,43.04882390158331
42,北海道,札幌市中央区,宮の森二条１７丁目,,141.2893147157663,43.04122587544517,141.29274871282365,43.046425992112376
43,北海道,札幌市中央区,宮の森三条１丁目,,141.30722756575784,43.06520339301229,141.3114436456326,43.068081843897275
44,北海道,札幌市中央区,宮の森三条２丁目,,141.30656847370346,43.064733500287986,141.31023485789908,43.06700530703431
45,北海道,札幌市中央区,宮の森三条３丁目,,141.30583291896127,43.06407834071162,141.3095640775769,43.06633639171864
46,北海道,札幌市中央区,宮の森三条４丁目,,141.30488704392593,43.06332306300894,141.3087801761345,43.06565059654161
47,北海道,札幌市中央区,宮の森三条５丁目,,141.3040331481774,43.06258113531468,141.30800904646327,43.064851307709745
48,北海道,札幌市中央区,宮の森三条６丁目,,141.30310918756985,43.06172651974673,141.30708349687794,43.0641226772423
49,北海道,札幌市中央区,宮の森三条７丁目,,141.30219526765828,43.06045182429256,141.30605380766565,43.063317224595544
50,北海道,札幌市中央区,宮の森三条８丁目,,141.30147237891043,43.059783168242795,141.30459055019648,43.06239693046098
51,北海道,札幌市中央区,宮の森三条９丁目,,141.30033028446775,43.05924839698149,141.30383698115898,43.061654597025154
52,北海道,札幌市中央区,宮の森三条１０丁目,,141.30004166837477,43.057883514437314,141.3032089302547,43.06046380966327
53,北海道,札幌市中央区,宮の森三条１１丁目,,141.29767281084858,43.05735812846711,141.30004166837477,43.05969255269813
54,北海道,札幌市中央区,宮の森三条１２丁目,,141.2953480088474,43.05474719818774,141.29993221136428,43.058243198228084
55,北海道,札幌市中央区,宮の森三条１３丁目,,141.29623819075593,43.050491579865735,141.29920474678798,43.05482170546649
56,北海道,札幌市中央区,宮の森四条１丁目,,141.30515556683773,43.0669484908923,141.3082882020198,43.06908918920219
57,北海道,札幌市中央区,宮の森四条２丁目,,141.30445155350216,43.06638225734268,141.30717035765483,43.068026833647245
58,北海道,札幌市中央区,宮の森四条３丁目,,141.30364480706976,43.065806611257486,141.3066124708393,43.06746042659223
59,北海道,札幌市中央区,宮の森四条４丁目,,141.30267973692625,43.064851307709745,141.30600644349465,43.066807576430634
60,北海道,札幌市中央区,宮の森四条５丁目,,141.3017725101862,43.0640987627355,141.30488704392593,43.06604707186571
61,北海道,札幌市中央区,宮の森四条６丁目,,141.30081205831814,43.063317224595544,141.30399879366195,43.065318968929354
62,北海道,札幌市中央区,宮の森四条７丁目,,141.30017113381467,43.062743426467755,141.30310918756985,43.06455426761405
63,北海道,札幌市中央区,宮の森四条８丁目,,141.29895016625085,43.061654597025154,141.30253321583945,43.06403800948869
64,北海道,札幌市中央区,宮の森四条９丁目,,141.2975675767834,43.06046380966327,141.30147237891043,43.063052688647986
65,北海道,札幌市中央区,宮の森四条１０丁目,,141.2962658659892,43.05880608189022,141.30033028446775,43.061946169317395
66,北海道,札幌市中央区,宮の森四条１１丁目,,141.29259154098645,43.05655510222497,141.29839642176614,43.06090936946423
67,北海道,札幌市中央区,宮の森四条１２丁目,,141.28894612992437,43.05363670397863,141.29725886026426,43.05744719534982
68,北海道,札幌市中央区,宮の森四条１３丁目,,141.2925559429309,43.052088479281906,141.29763231260245,43.054789527706184
69,北海道,札幌市中央区,双子山１丁目,,141.31635926246267,43.042521133980394,141.3202346849188,43.046187288089534
70,北海道,札幌市中央区,双子山２丁目,,141.3131326087153,43.04266847878485,141.31807065204282,43.04515686420124
71,北海道,札幌市中央区,双子山３丁目,,141.3099041117014,43.04246869000518,141.31671756713436,43.044208657495126
72,北海道,札幌市中央区,双子山４丁目,,141.30981647474914,43.03734562384429,141.31820127629248,43.04299271483489
73,北海道,札幌市中央区,界川１丁目,,141.3164023462542,43.038682581608754,141.31969146571146,43.043933549312385
74,北海道,札幌市中央区,界川２丁目,,141.3143231508111,43.033798940715464,141.317655136024,43.03892151292718
75,北海道,札幌市中央区,界川３丁目,,141.3105690159957,43.033981240887876,141.31678055245587,43.03875383164
76,北海道,札幌市中央区,界川４丁目,,141.31059768527032,43.035970551398584,141.31771797354307,43.04137536799534
77,北海道,札幌市中央区,旭ケ丘１丁目,,141.31830702950884,43.040436707501435,141.32145297907678,43.04407604660571
78,北海道,札幌市中央区,旭ケ丘２丁目,,141.32020942789816,43.038863834886484,141.3228833089864,43.040886496666836
79,北海道,札幌市中央区,旭ケ丘３丁目,,141.31818602406963,43.03852584860552,141.32217419610396,43.040564939909714
80,北海道,札幌市中央区,旭ケ丘４丁目,,141.3218336238495,43.03765162568699,141.32530730429283,43.04002968930857
81,北海道,札幌市中央区,旭ケ丘５丁目,,141.31721502836243,43.03451585302652,141.32447655539795,43.03874029513576
82,北海道,札幌市中央区,旭ケ丘６丁目,,141.3169846509773,43.03593003878627,141.32130843751412,43.038960517226
83,北海道,札幌市中央区,伏見１丁目,,141.32423141853968,43.03591970068446,141.32934531733935,43.03835477535216
84,北海道,札幌市中央区,伏見２丁目,,141.32403141460537,43.03405602118691,141.32912219296907,43.03765162568699
85,北海道,札幌市中央区,伏見３丁目,,141.31950963365944,43.02891986042962,141.3287914866149,43.03492682338228
86,北海道,札幌市中央区,伏見４丁目,,141.32630211433224,43.03181258686387,141.33272600281643,43.03591970068446
87,北海道,札幌市中央区,伏見５丁目,,141.32455779180214,43.02800027912664,141.33662537435438,43.03347638994943
88,北海道,札幌市中央区,円山西町１丁目,,141.30086867877125,43.04670194007261,141.3045221438869,43.049992465966156
89,北海道,札幌市中央区,円山西町２丁目,,141.2973710269929,43.04243983103723,141.30562463399974,43.04679692862347
90,北海道,札幌市中央区,円山西町３丁目,,141.30416174181372,43.04105212319324,141.30655615778346,43.04486947490275
91,北海道,札幌市中央区,円山西町４丁目,,141.30113701841518,43.03840792497,141.30646683803886,43.04340868463382
92,北海道,札幌市中央区,円山西町５丁目,,141.30001380058926,43.035515077306165,141.3063038323508,43.0396407600969
93,北海道,札幌市中央区,円山西町６丁目,,141.30545483949507,43.03826998308379,141.30959531160607,43.04344878929913
94,北海道,札幌市中央区,円山西町７丁目,,141.3082153492781,43.04101639813066,141.31142037947882,43.043502444148864
95,北海道,札幌市中央区,円山西町８丁目,,141.3052337323353,43.0434099821644,141.30846349698268,43.04636776179279
96,北海道,札幌市中央区,円山西町９丁目,,141.30809290207043,43.043387103138684,141.31416113835274,43.04570803714181
97,北海道,札幌市中央区,円山西町１０丁目,,141.30793164819497,43.0447453655028,141.3135024272748,43.04768257254818
98,北海道,札幌市中央区,中島公園,,141.35146365992753,43.0402532484798,141.35665349086776,43.04884507571417
99,北海道,札幌市中央区,宮ケ丘１丁目,,141.31140111946755,43.05720602219249,141.3132735062032,43.05916571209333
100,北海道,札幌市中央区,宮ケ丘２丁目,,141.3096736314193,43.056995143479014,141.3118478491559,43.05897120301885
